
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.244+",="0.058**",="0.341*",="0.001*",="0.005*",="-0.036*",="-0.049**",="0.056",="0.101",="-0.003",="-0.015",="0.005",="-0.018",="-0.049",="0.065",="-0.068",="0.085*",="-0.040*",="-0.103"
="",="(0.134)",="(0.018)",="(0.160)",="(0.000)",="(0.002)",="(0.016)",="(0.018)",="(0.065)",="(0.079)",="(0.042)",="(0.010)",="(0.041)",="(0.011)",="(0.072)",="(0.040)",="(0.060)",="(0.043)",="(0.020)",="(0.092)"

="lpop",="0.044*",="0.030",="0.044*",="0.038+",="0.030",="-0.034",="-0.035",="0.047*",="0.049*",="0.042+",="0.039+",="0.043+",="0.040+",="0.075**",="0.075**",="0.072**",="0.071**",="0.034",="0.040+"
="",="(0.022)",="(0.023)",="(0.022)",="(0.023)",="(0.023)",="(0.034)",="(0.033)",="(0.023)",="(0.023)",="(0.022)",="(0.023)",="(0.024)",="(0.023)",="(0.028)",="(0.028)",="(0.027)",="(0.027)",="(0.023)",="(0.023)"

="N",="1690",="1690",="1690",="1688",="1690",="762",="773",="1670",="1670",="1671",="1670",="1671",="1670",="1351",="1351",="1351",="1351",="1670",="1666"
="R-sq",="0.864",="0.869",="0.864",="0.863",="0.863",="0.898",="0.899",="0.863",="0.864",="0.862",="0.863",="0.862",="0.863",="0.895",="0.896",="0.896",="0.897",="0.864",="0.863"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
