
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.279",="0.061***",="0.678**",="0.001",="0.007*",="-0.043*",="-0.065**",="0.145",="0.212*",="-0.011",="-0.013",="-0.007",="-0.014",="-0.139",="0.118*",="-0.158",="0.149*",="-0.051",="-0.166"
="",="(0.187)",="(0.016)",="(0.240)",="(0.001)",="(0.003)",="(0.019)",="(0.021)",="(0.098)",="(0.104)",="(0.059)",="(0.011)",="(0.060)",="(0.013)",="(0.130)",="(0.057)",="(0.106)",="(0.058)",="(0.033)",="(0.149)"

="lpop",="0.025",="0.023",="0.031",="0.023",="0.010",="-0.045",="-0.047",="0.034",="0.033",="0.026",="0.025",="0.026",="0.026",="0.077*",="0.076*",="0.075*",="0.072*",="0.017",="0.020"
="",="(0.025)",="(0.023)",="(0.024)",="(0.027)",="(0.028)",="(0.033)",="(0.032)",="(0.026)",="(0.026)",="(0.025)",="(0.027)",="(0.027)",="(0.027)",="(0.030)",="(0.031)",="(0.029)",="(0.029)",="(0.026)",="(0.026)"

="N",="765",="765",="765",="765",="765",="432",="438",="765",="765",="765",="765",="765",="765",="612",="612",="612",="612",="765",="765"
="R-sq",="0.879",="0.886",="0.881",="0.878",="0.880",="0.910",="0.911",="0.879",="0.882",="0.877",="0.877",="0.877",="0.878",="0.911",="0.912",="0.912",="0.914",="0.879",="0.879"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
