
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.243",="0.062***",="0.339*",="0.001**",="0.007**",="-0.040*",="-0.052**",="0.018",="0.069",="-0.029",="-0.019+",="-0.018",="-0.021+",="-0.063",="0.065",="-0.097",="0.101*",="-0.048*",="-0.117"
="",="(0.157)",="(0.014)",="(0.162)",="(0.000)",="(0.002)",="(0.016)",="(0.019)",="(0.069)",="(0.085)",="(0.046)",="(0.011)",="(0.042)",="(0.012)",="(0.078)",="(0.042)",="(0.065)",="(0.046)",="(0.022)",="(0.094)"

="N",="1690",="1690",="1690",="1688",="1690",="762",="773",="1670",="1670",="1671",="1670",="1671",="1670",="1351",="1351",="1351",="1351",="1670",="1666"
="R-sq",="0.861",="0.868",="0.861",="0.861",="0.862",="0.897",="0.898",="0.860",="0.860",="0.860",="0.861",="0.859",="0.861",="0.891",="0.891",="0.891",="0.892",="0.863",="0.861"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
