
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.291",="0.062***",="0.644*",="0.001",="0.007*",="-0.047*",="-0.069**",="0.120",="0.200+",="-0.030",="-0.015",="-0.027",="-0.015",="-0.152",="0.134*",="-0.179",="0.168**",="-0.057",="-0.184"
="",="(0.203)",="(0.014)",="(0.256)",="(0.001)",="(0.003)",="(0.020)",="(0.021)",="(0.100)",="(0.108)",="(0.066)",="(0.012)",="(0.063)",="(0.013)",="(0.143)",="(0.056)",="(0.114)",="(0.064)",="(0.037)",="(0.156)"

="N",="765",="765",="765",="765",="765",="432",="438",="765",="765",="765",="765",="765",="765",="612",="612",="612",="612",="765",="765"
="R-sq",="0.878",="0.886",="0.880",="0.878",="0.880",="0.908",="0.909",="0.877",="0.880",="0.876",="0.876",="0.876",="0.876",="0.905",="0.906",="0.907",="0.909",="0.879",="0.878"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
