
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="comm_hval_corr_est",="pdiff_mean"

="var",="0.274***",="0.002",="0.213",="0.001*",="0.004",="0.005",="0.002",="-0.025",="0.055",="-0.079",="-0.024+",="-0.022",="-0.021+",="-0.068**",="-0.344***"
="",="(0.043)",="(0.027)",="(0.260)",="(0.001)",="(0.003)",="(0.009)",="(0.009)",="(0.056)",="(0.095)",="(0.099)",="(0.013)",="(0.083)",="(0.011)",="(0.021)",="(0.093)"

="lpop",="0.024***",="0.017***",="0.013**",="0.016***",="0.013***",="0.016**",="0.018*",="0.021***",="0.014*",="0.018***",="0.021***",="0.018***",="0.022***",="0.021***",="0.022***"
="",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.007)",="(0.005)",="(0.007)",="(0.004)",="(0.005)",="(0.004)",="(0.005)",="(0.005)",="(0.005)"

="N",="416",="416",="416",="412",="416",="295",="299",="375",="375",="376",="375",="376",="375",="375",="377"
="R-sq",="0.264",="0.147",="0.154",="0.169",="0.159",="0.164",="0.163",="0.171",="0.175",="0.178",="0.189",="0.171",="0.185",="0.214",="0.235"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
