
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="comm_hval_corr_est",="pdiff_mean"

="var",="0.231**",="-0.022",="-0.123",="0.000",="0.004",="0.019",="-0.000",="0.118",="0.171",="-0.167",="-0.012",="-0.142",="-0.003",="-0.138**",="-0.756**"
="",="(0.071)",="(0.029)",="(0.132)",="(0.001)",="(0.004)",="(0.014)",="(0.011)",="(0.132)",="(0.129)",="(0.212)",="(0.015)",="(0.155)",="(0.013)",="(0.045)",="(0.246)"

="lpop",="0.038**",="0.038**",="0.043***",="0.034***",="0.029**",="0.028*",="0.035*",="0.028*",="0.023*",="0.032**",="0.035**",="0.028**",="0.035**",="0.033**",="0.033**"
="",="(0.012)",="(0.014)",="(0.008)",="(0.010)",="(0.011)",="(0.011)",="(0.014)",="(0.011)",="(0.011)",="(0.010)",="(0.012)",="(0.011)",="(0.012)",="(0.011)",="(0.010)"

="N",="87",="87",="87",="87",="87",="84",="85",="87",="87",="87",="87",="87",="87",="87",="87"
="R-sq",="0.404",="0.335",="0.344",="0.331",="0.342",="0.355",="0.331",="0.350",="0.394",="0.364",="0.335",="0.366",="0.331",="0.443",="0.483"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
