
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.249***",="0.045*",="0.344**",="0.003***",="0.009***",="-0.013*",="-0.006",="-0.041",="0.035",="-0.033",="-0.020*",="-0.053",="-0.015+",="-0.038",="0.132**",="-0.119",="0.155***",="-0.096***",="-0.473***"
="",="(0.035)",="(0.019)",="(0.113)",="(0.000)",="(0.002)",="(0.006)",="(0.008)",="(0.057)",="(0.068)",="(0.069)",="(0.008)",="(0.047)",="(0.008)",="(0.094)",="(0.046)",="(0.077)",="(0.044)",="(0.020)",="(0.119)"

="lpop",="0.034***",="0.018***",="0.017***",="0.023***",="0.017***",="0.036***",="0.034***",="0.030***",="0.025***",="0.027***",="0.028***",="0.025***",="0.029***",="0.029***",="0.015**",="0.032***",="0.018***",="0.029***",="0.029***"
="",="(0.003)",="(0.005)",="(0.004)",="(0.003)",="(0.003)",="(0.004)",="(0.006)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.006)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)"

="N",="338",="338",="338",="338",="338",="257",="260",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338"
="R-sq",="0.479",="0.381",="0.431",="0.459",="0.448",="0.419",="0.409",="0.369",="0.368",="0.367",="0.376",="0.370",="0.372",="0.367",="0.391",="0.376",="0.408",="0.426",="0.439"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
