
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.189***",="0.014",="0.287",="0.002*",="0.007**",="-0.003",="0.003",="0.023",="0.049",="-0.181+",="-0.009",="-0.143*",="-0.003",="-0.170",="0.059",="-0.133",="0.095",="-0.060**",="-0.342**"
="",="(0.036)",="(0.016)",="(0.178)",="(0.001)",="(0.002)",="(0.009)",="(0.010)",="(0.064)",="(0.070)",="(0.097)",="(0.009)",="(0.068)",="(0.009)",="(0.110)",="(0.057)",="(0.090)",="(0.059)",="(0.020)",="(0.125)"

="lpop",="0.050***",="0.043***",="0.037***",="0.041***",="0.034***",="0.047***",="0.045***",="0.044***",="0.042***",="0.045***",="0.046***",="0.039***",="0.046***",="0.053***",="0.040***",="0.050***",="0.038***",="0.045***",="0.045***"
="",="(0.004)",="(0.006)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.006)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.008)",="(0.006)",="(0.006)",="(0.004)",="(0.004)",="(0.004)"

="N",="153",="153",="153",="153",="153",="144",="146",="153",="153",="153",="153",="153",="153",="153",="153",="153",="153",="153",="153"
="R-sq",="0.633",="0.577",="0.591",="0.590",="0.604",="0.579",="0.579",="0.576",="0.579",="0.598",="0.578",="0.597",="0.576",="0.589",="0.580",="0.586",="0.590",="0.597",="0.610"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
