
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.126***",="0.052***",="0.197**",="0.002***",="0.009***",="-0.136**",="-0.101+",="-0.027",="-0.031***",="0.029",="-0.029***",="0.095+",="0.083*",="0.021",="0.056+",="-0.027+",="0.013"
="",="(0.025)",="(0.012)",="(0.064)",="(0.000)",="(0.001)",="(0.049)",="(0.059)",="(0.056)",="(0.008)",="(0.029)",="(0.007)",="(0.055)",="(0.035)",="(0.044)",="(0.030)",="(0.015)",="(0.075)"

="lpop",="0.032***",="0.017***",="0.022***",="0.023***",="0.018***",="0.036***",="0.033***",="0.027***",="0.028***",="0.029***",="0.029***",="0.025***",="0.021***",="0.027***",="0.025***",="0.028***",="0.028***"
="",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.002)"

="N",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="336"
="R-sq",="0.572",="0.570",="0.566",="0.572",="0.626",="0.553",="0.540",="0.530",="0.549",="0.531",="0.549",="0.535",="0.540",="0.530",="0.535",="0.537",="0.529"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
