
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.123**",="0.019",="0.100",="0.001*",="0.008***",="0.012",="0.010",="-0.210*",="-0.008",="-0.073",="-0.002",="0.099",="0.087+",="0.069",="0.053",="-0.042+",="-0.180"
="",="(0.036)",="(0.015)",="(0.070)",="(0.001)",="(0.002)",="(0.055)",="(0.057)",="(0.080)",="(0.014)",="(0.058)",="(0.012)",="(0.099)",="(0.051)",="(0.089)",="(0.055)",="(0.021)",="(0.115)"

="lpop",="0.047***",="0.039***",="0.037***",="0.040***",="0.026***",="0.044***",="0.044***",="0.044***",="0.045***",="0.042***",="0.045***",="0.041***",="0.037***",="0.043***",="0.042***",="0.045***",="0.047***"
="",="(0.004)",="(0.007)",="(0.006)",="(0.005)",="(0.006)",="(0.006)",="(0.006)",="(0.004)",="(0.004)",="(0.005)",="(0.004)",="(0.007)",="(0.006)",="(0.005)",="(0.005)",="(0.004)",="(0.005)"

="N",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87"
="R-sq",="0.698",="0.662",="0.670",="0.668",="0.742",="0.652",="0.652",="0.689",="0.654",="0.662",="0.652",="0.657",="0.664",="0.655",="0.657",="0.673",="0.670"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
