
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="comm_hval_corr_est",="pdiff_mean"

="var",="0.111*",="0.072**",="0.291*",="0.002**",="0.010**",="0.027**",="0.027***",="0.139**",="0.163**",="-0.181",="-0.004",="-0.157+",="0.009",="-0.032",="-0.182*"
="",="(0.048)",="(0.025)",="(0.138)",="(0.001)",="(0.003)",="(0.009)",="(0.008)",="(0.048)",="(0.053)",="(0.143)",="(0.011)",="(0.091)",="(0.014)",="(0.020)",="(0.090)"

="N",="338",="338",="338",="336",="338",="252",="255",="318",="318",="319",="318",="319",="318",="318",="320"
="R-sq",="0.025",="0.097",="0.117",="0.067",="0.130",="0.117",="0.134",="0.116",="0.161",="0.044",="0.000",="0.075",="0.003",="0.011",="0.020"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
