
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="comm_hval_corr_est",="pdiff_mean"

="var",="0.141",="0.073*",="0.252+",="0.004*",="0.012**",="0.046**",="0.043***",="0.304*",="0.295**",="-0.287",="-0.008",="-0.294+",="0.015",="-0.155*",="-0.832*"
="",="(0.091)",="(0.036)",="(0.142)",="(0.002)",="(0.004)",="(0.014)",="(0.012)",="(0.123)",="(0.105)",="(0.251)",="(0.017)",="(0.149)",="(0.016)",="(0.065)",="(0.322)"

="N",="87",="87",="87",="87",="87",="84",="85",="87",="87",="87",="87",="87",="87",="87",="87"
="R-sq",="0.028",="0.089",="0.137",="0.148",="0.220",="0.218",="0.208",="0.223",="0.307",="0.107",="0.002",="0.207",="0.007",="0.143",="0.186"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
