
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.041",="0.111***",="0.598***",="0.005***",="0.016***",="0.035***",="0.043***",="0.232***",="0.272***",="-0.299**",="0.001",="-0.289***",="0.025*",="0.381***",="0.250***",="0.298***",="0.308***",="-0.069*",="-0.349"
="",="(0.047)",="(0.015)",="(0.143)",="(0.001)",="(0.002)",="(0.009)",="(0.008)",="(0.054)",="(0.053)",="(0.102)",="(0.009)",="(0.064)",="(0.012)",="(0.074)",="(0.034)",="(0.083)",="(0.049)",="(0.031)",="(0.240)"

="N",="338",="338",="338",="338",="338",="257",="260",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338",="338"
="R-sq",="0.004",="0.340",="0.351",="0.219",="0.363",="0.181",="0.301",="0.213",="0.262",="0.078",="0.000",="0.215",="0.020",="0.197",="0.365",="0.122",="0.323",="0.031",="0.040"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
