
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="lmiles_a",="lmiles_ab",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="0.065",="0.122***",="0.493***",="0.006***",="0.017***",="0.046**",="0.067***",="0.352***",="0.346***",="-0.339+",="-0.012",="-0.474***",="0.016",="0.500***",="0.423***",="0.344+",="0.405***",="-0.075+",="-0.403"
="",="(0.082)",="(0.022)",="(0.119)",="(0.002)",="(0.003)",="(0.014)",="(0.013)",="(0.073)",="(0.070)",="(0.182)",="(0.017)",="(0.095)",="(0.017)",="(0.097)",="(0.054)",="(0.196)",="(0.073)",="(0.040)",="(0.365)"

="N",="87",="87",="87",="87",="87",="84",="85",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87",="87"
="R-sq",="0.007",="0.367",="0.440",="0.267",="0.488",="0.168",="0.388",="0.355",="0.383",="0.078",="0.004",="0.380",="0.008",="0.219",="0.551",="0.085",="0.427",="0.041",="0.058"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
