
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="perc_black",="lhval",="modeshare_anytransit",="time_anytransit",="time_car",="diss",="hutchens",="tot_centrality_OG",="blk_centrality_OG",="wht_centrality_OG",="bw_diff",="gini_tot",="gini_blk",="gini_wht",="bw_gini",="comm_hval_corr_est",="pdiff_mean"

="var",="-0.041",="0.109***",="0.858***",="0.005***",="0.015***",="0.244***",="0.295***",="-0.369***",="-0.029**",="-0.221***",="0.004",="0.467***",="0.268***",="0.369***",="0.273***",="-0.023",="0.262+"
="",="(0.040)",="(0.008)",="(0.188)",="(0.001)",="(0.001)",="(0.055)",="(0.054)",="(0.065)",="(0.009)",="(0.051)",="(0.011)",="(0.063)",="(0.026)",="(0.073)",="(0.043)",="(0.030)",="(0.158)"

="N",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="416",="415",="412"
="R-sq",="0.005",="0.472",="0.335",="0.327",="0.435",="0.197",="0.232",="0.143",="0.019",="0.169",="0.000",="0.316",="0.417",="0.193",="0.283",="0.005",="0.039"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
