
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9"

="lpop",="0.0204***",="0.0268***",="0.0369**",="0.0355***",="0.0379***",="0.0473***",="0.0435+",="0.0436*",="0.0281"
="",="(0.0055)",="(0.0064)",="(0.0124)",="(0.0025)",="(0.0022)",="(0.0037)",="(0.0237)",="(0.0220)",="(0.0273)"

="perc_black",="",="0.2989***",="0.2203**",="",="0.1254***",="0.1165**",="",="0.2436+",="0.3046"
="",="",="(0.0519)",="(0.0715)",="",="(0.0274)",="(0.0376)",="",="(0.1343)",="(0.2170)"

="N",="338",="338",="87",="338",="338",="87",="1690",="1690",="435"
="R-sq",="0.196",="0.331",="0.390",="0.587",="0.626",="0.686",="0.861",="0.864",="0.885"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
