
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="diss",="gini_blk",="gini_wht",="tot_centrality_OG",="lmiles_ab",="modeshare_anytransit",="time_car",="lhval",="comm_hval_corr_est"

="var",="0.2123+",="0.2392**",="-0.2818",="-0.0008",="-0.0786**",="0.4457*",="0.0058+",="0.0592***",="-0.0774"
="",="(0.1151)",="(0.0731)",="(0.1769)",="(0.0818)",="(0.0281)",="(0.1909)",="(0.0032)",="(0.0150)",="(0.0534)"

="N",="435",="348",="348",="435",="255",="435",="435",="435",="435"
="R-sq",="0.885",="0.910",="0.910",="0.880",="0.923",="0.886",="0.883",="0.891",="0.885"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
