
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ma_ratio_citysp",="diss",="tot_centrality_OG",="lmiles_ab",="modeshare_anytransit",="time_car",="lhval",="comm_hval_corr_est"

="var",="-0.1052***",="0.2602*",="0.0374",="-0.0726**",="0.4473*",="0.0044",="0.0570***",="-0.0679"
="",="(0.0301)",="(0.1152)",="(0.0723)",="(0.0248)",="(0.1699)",="(0.0033)",="(0.0165)",="(0.0488)"

="lpop",="0.0860**",="0.0487+",="0.0385",="-0.0440",="0.0345",="0.0228",="0.0268",="0.0183"
="",="(0.0320)",="(0.0279)",="(0.0258)",="(0.0348)",="(0.0261)",="(0.0313)",="(0.0256)",="(0.0267)"

="N",="348",="435",="435",="255",="435",="435",="435",="435"
="R-sq",="0.923",="0.889",="0.882",="0.925",="0.888",="0.883",="0.892",="0.886"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
