
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ma_ratio_citysp",="diss",="tot_centrality_OG",="lmiles_ab",="modeshare_anytransit",="time_car",="lhval",="comm_hval_corr_est"

="var",="-0.0597**",="0.0176",="-0.0290",="-0.0523**",="0.3393*",="0.0069**",="0.0621***",="-0.0478*"
="",="(0.0211)",="(0.0691)",="(0.0464)",="(0.0189)",="(0.1615)",="(0.0025)",="(0.0139)",="(0.0216)"

="N",="1352",="1670",="1671",="773",="1690",="1690",="1690",="1670"
="R-sq",="0.894",="0.860",="0.860",="0.898",="0.861",="0.862",="0.868",="0.863"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
