
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ma_ratio_citysp",="diss",="tot_centrality_OG",="lmiles_ab",="modeshare_anytransit",="time_car",="lhval",="comm_hval_corr_est"

="var",="-0.0601**",="0.0558",="-0.0028",="-0.0491**",="0.3407*",="0.0053*",="0.0575**",="-0.0401*"
="",="(0.0184)",="(0.0647)",="(0.0422)",="(0.0180)",="(0.1601)",="(0.0024)",="(0.0175)",="(0.0195)"

="lpop",="0.0759**",="0.0469*",="0.0424+",="-0.0349",="0.0437*",="0.0304",="0.0300",="0.0345"
="",="(0.0252)",="(0.0232)",="(0.0222)",="(0.0334)",="(0.0219)",="(0.0233)",="(0.0225)",="(0.0228)"

="N",="1352",="1670",="1671",="773",="1690",="1690",="1690",="1670"
="R-sq",="0.899",="0.863",="0.862",="0.899",="0.864",="0.863",="0.869",="0.864"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
