
="",="(1)",="(2)",="(3)",="(4)"
="",="est1",="est2",="est3",="est4"

="gurenIV_B",="0.6357***",="0.6287***",="0.6192***",="0.6179***"
="",="(0.1105)",="(0.1202)",="(0.1129)",="(0.1180)"

="lpop",="",="0.1023",="",="0.0708"
="",="",="(0.0910)",="",="(0.1044)"

="perc_black",="",="-0.4224",="",="-0.1864"
="",="",="(0.5299)",="",="(0.7444)"

="N",="2080",="2080",="765",="765"
="R-sq",="0.969",="0.969",="0.964",="0.964"

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
