
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10"

="lhval",="0.0621***",="0.0611***",="0.0497+",="0.0500*",="",="0.0592***",="0.0591***",="0.0475",="0.0518+",=""
="",="(0.0139)",="(0.0156)",="(0.0256)",="(0.0240)",="",="(0.0150)",="(0.0148)",="(0.0308)",="(0.0266)",=""

="lpop",="",="0.0292",="",="0.0318",="",="",="0.0199",="",="0.0209",=""
="",="",="(0.0189)",="",="(0.0195)",="",="",="(0.0204)",="",="(0.0205)",=""

="perc_black",="",="0.2908*",="",="0.2822*",="",="",="0.3360",="",="0.3321",=""
="",="",="(0.1333)",="",="(0.1386)",="",="",="(0.2075)",="",="(0.2138)",=""

="comm_hval_corr_est",="",="",="",="",="-0.0478*",="",="",="",="",="-0.0774"
="",="",="",="",="",="(0.0216)",="",="",="",="",="(0.0534)"

="N",="1690",="1690",="1690",="1690",="1670",="435",="435",="435",="435",="435"
="R-sq",="0.868",="0.872",="0.060",="0.091",="0.863",="0.891",="0.896",="0.087",="0.134",="0.885"
="cdval",="",="",="1307.1854",="1271.7037",="",="",="",="350.1144",="350.9845",=""
="kpval",="",="",="32.5310",="24.8896",="",="",="",="27.1499",="24.9649",=""

="Standard errors in parentheses"
="+ p<0.10, * p<0.05, ** p<0.01, *** p<0.001"
